Image name,Fruite type,x_min,y_min,x_max,y_max
Apple (134).jpeg,Apple,157.1764,133.9341,378.3532,246.1311
Apple (135).jpeg,Apple,385.06,269.412,516.6264,461.1768
Apple (136).jpeg,Apple,249.2932,100.3767,559.7308,500.8941
Apple (137).jpeg,Apple,205.9996,209.4543,553.714,415.1817
Apple (138).jpeg,Apple,241.5584,149.5086,710.7536,423.8034
Apple (138).jpeg,Apple,9.4544,338.0985,451.48,585.8691
Apple (139).jpeg,Apple,271.7668,27.9669,405.9052,179.1147
Apple (139).jpeg,Apple,535.8832,137.049,667.2288,266.3934
Apple (139).jpeg,Apple,425.2504,141.7053,549.7016,283.5411
Apple (139).jpeg,Apple,284.218,168.1968,429.4108,302.2296
Apple (139).jpeg,Apple,121.0472,238.3278,245.4984,363.0162
Apple (139).jpeg,Apple,67.1128,397.3116,206.7784,540.6888
Apple (140).jpeg,Apple,271.7668,27.9669,405.9052,179.1147
Apple (140).jpeg,Apple,535.8832,137.049,667.2288,266.3934
Apple (140).jpeg,Apple,425.2504,141.7053,549.7016,283.5411
Apple (140).jpeg,Apple,284.218,168.1968,429.4108,302.2296
Apple (140).jpeg,Apple,121.0472,238.3278,245.4984,363.0162
Apple (140).jpeg,Apple,67.1128,397.3116,206.7784,540.6888
Apple (141).jpeg,Apple,212.4104,207.1269,331.5896,325.6059
Apple (142).jpeg,Apple,233.6564,210.2625,386.446,425.4003
Apple (142).jpeg,Apple,355.4396,400.9497,450.6756,515.0247
Apple (142).jpeg,Apple,109.6308,308.0625,241.4012,480.7875
Apple (143).jpeg,Apple,204.014,143.2785,504.058,501.7047
Apple (144).jpeg,Apple,356.6156,230.4933,481.2308,358.2855
Apple (145).jpeg,Apple,57.03,281.2056,272.4756,476.0292
Apple (145).jpeg,Apple,584.436,242.25,715.9208,387.1764
Apple (146).jpeg,Apple,298.6932,69.2757,431.7628,197.0511
Apple (146).jpeg,Apple,216.0396,203.2962,365.2276,326.4186
Apple (146).jpeg,Apple,324.9108,296.7858,459.9996,377.847
Apple (146).jpeg,Apple,207.96,451.0716,349.1088,569.5104
Apple (148).jpeg,Apple,240.1236,337.206,314.8108,435.3708
Apple (148).jpeg,Apple,577.8536,156.4329,657.236,234.3399
Apple (148).jpeg,Apple,450.224,281.1033,526.4864,359.0103
Apple (149).jpeg,Apple,202.1104,55.2729,611.9056,451.1211
Apple (150).jpeg,Apple,351.9708,110.5575,481.9492,227.4429
Apple (150).jpeg,Apple,197.0912,310.0329,309.0912,417.5739
Apple (150).jpeg,Apple,116.8876,359.9019,227.5204,497.0493
Apple (151).jpeg,Apple,75.4208,315.5334,170.8688,418.3998
Apple (152).jpeg,Apple,250,158.0001,617.8096,384.0003
Apple (153).jpeg,Apple,207.9584,163.575,457.608,283.575
Apple (153).jpeg,Apple,407.7112,236.8263,590.804,349.0425
Apple (153).jpeg,Apple,424.33,126.1851,621.3196,244.6101
Apple (153).jpeg,Apple,199.6288,282.0231,427.0928,400.4709
Apple (154).jpeg,Apple,46.1936,50.4708,274.5808,309.1764
Apple (154).jpeg,Apple,81.7548,296.706,322.426,546.0588
Apple (154).jpeg,Apple,316.9552,273.3531,534.4,518.0001
Apple (154).jpeg,Apple,527.5356,245.2944,742.2452,894.6472
Apple (155).jpeg,Apple,214.85,117.5298,401.8828,334.1178
Apple (155).jpeg,Apple,371.3984,207.8823,559.7904,433.8825
Apple (156).jpeg,Apple,332.2404,394.1238,522.71,501.6654
Apple (156).jpeg,Apple,703.8252,401.9127,800.0004,465.8181
Apple (157).jpeg,Apple,127.5048,352.1466,280.0824,433.1814
Apple (157).jpeg,Apple,288.4124,501.7533,427.0932,590.5947
Apple (157).jpeg,Apple,366.0616,369.2898,485.3608,433.1814
Apple (157).jpeg,Apple,440.9896,80.9883,549.1544,146.4321
Apple (157).jpeg,Apple,241.2372,258.6483,343.8764,328.7721
Apple (157).jpeg,Apple,576.9072,302.2704,674.0208,353.6988
Apple (158).jpeg,Apple,336.348,138.5901,479.652,317.8359
Apple (158).jpeg,Apple,41.5068,82.4919,193.0724,238.3281
Apple (159).jpeg,Apple,431.5672,23.9691,763.0888,390.1857
Banana (1).jpeg,Banana,6.5112,4.9056,785.4888,585.4716
Banana (10).jpeg,Banana,151.6508,233.8032,385.1348,600
Banana (1997).jpeg,Banana,168.2472,312.4641,326.9192,476.3199
Banana (1997).jpeg,Banana,346.78,411.7731,614.548,588.8661
Banana (1997).jpeg,Banana,44.2628,446.5362,277.3436,582.2478
Banana (1997).jpeg,Banana,538.5332,289.2684,705.4828,453.1548
Banana (1998).jpeg,Banana,283.8112,199.0491,471.7968,574.7541
Banana (1998).jpeg,Banana,445.3528,235.4427,649.484,581.3769
Banana (1998).jpeg,Banana,141.3524,247.0488,316.1308,551.6064
Banana (1999).jpeg,Banana,39.4644,114.5601,748.8572,495.2535
Banana (2).jpeg,Banana,154.738,30.1332,679.9644,508.4796
Banana (2000).jpeg,Banana,44.3736,197.3067,695.4312,498.5601
Banana (2001).jpeg,Banana,0.122,194.9373,262.7228,325.6875
Banana (2001).jpeg,Banana,40.3956,284.3124,306.2204,428.3124
Banana (2001).jpeg,Banana,493.1104,163.5,554.3424,236.3124
Banana (2002).jpeg,Banana,159.1464,0,790.3288,192.3468
Banana (2003).jpeg,Banana,200.8108,145.2957,608.2516,557.4207
Banana (2003).jpeg,Banana,283.6644,21.1362,658.4892,285.9546
Banana (2003).jpeg,Banana,673.4268,252.8526,800.0004,477.9546
Banana (2003).jpeg,Banana,0.0004,173.4204,202.182,521.0112
Banana (2004).jpeg,Banana,13.4756,157.5999,721.8844,498.5601
Banana (2005).jpeg,Banana,78.1916,26.8599,757.0884,534.9945
Banana (2006).jpeg,Banana,256.66,225.4749,398.1032,318.1623
Banana (2006).jpeg,Banana,309.732,356.2239,457.0312,480.3705
Banana (2007).jpeg,Banana,124.8576,271.0713,537.536,527.6247
Banana (2008).jpeg,Banana,192.2488,137.733,640.2488,442.2666
Banana (2009).jpeg,Banana,42.9676,88.131,744.9604,525.1146
Banana (2010).jpeg,Banana,111.8948,36.7602,268.07,195.6654
Banana (2010).jpeg,Banana,338.6668,117.8823,580.386,331.3845
Banana (2010).jpeg,Banana,120.456,192.3531,298,491.9457
Banana (2010).jpeg,Banana,422.0704,311.5383,768.632,586.2897
Banana (2011).jpeg,Banana,76.508,65.82,754.3176,517.71
Banana (2012).jpeg,Banana,137.0664,94.6932,721.884,278.4264
Banana (2013).jpeg,Banana,72.6232,84.0582,711.7048,539.2134
Banana (2014).jpeg,Banana,267.4284,223.0827,596.386,504.4641
Banana (2015).jpeg,Banana,198.7396,87.2616,765.534,328.9188
Banana (2016).jpeg,Banana,301.44,220.5576,366.0512,300
Banana (2016).jpeg,Banana,451.2292,377.8029,536.4076,463.8687
Banana (2016).jpeg,Banana,517.3232,492,614.2544,563.1804
Banana (2016).jpeg,Banana,285.2652,420.8196,363.1124,498.6228
Banana (2016).jpeg,Banana,109.0616,448.9839,183.9416,520.1313
Banana (2016).jpeg,Banana,495.2728,68.295,552.5528,170.9178
Banana (2016).jpeg,Banana,633.338,235.443,695.0108,295.0494
Banana (2016).jpeg,Banana,454.1668,192.4263,507.0252,261.9345
Banana (2017).jpeg,Banana,122,123.96,573.28,569.64
Banana (2018).jpeg,Banana,26.72,78.66,732.16,536.28
Banana (2027).jpeg,Banana,25.102,89.3865,641.6356,461.1999
Banana (2028).jpeg,Banana,184,141.8136,606.6848,451.6536
Banana (2029).jpeg,Banana,60.0536,101.3064,593.956,516.0264
Banana (2030).jpeg,Banana,250.7376,137.04,546.2752,446.9064
Banana (2039).jpeg,Banana,95.476,127.377,687.6216,542.0982
Banana (2040).jpeg,Banana,222.1512,70.3197,377.8488,148.9599
Banana (2040).jpeg,Banana,355.6268,275.2797,508.1604,370.6131
Banana (2040).jpeg,Banana,597.1196,94.1334,708.3732,196.6398
Banana (2041).jpeg,Banana,159.5984,119.0409,623.784,500.4123
Banana (2042).jpeg,Banana,56.8888,32.1867,746.4888,520.7733
Banana (2052).jpeg,Banana,168.1068,108.4533,644.8004,496.9599
Banana (2053).jpeg,Banana,126.7916,84.6135,663.858,492.1869
Banana (2054).jpeg,Banana,88.6756,146.5869,724.2668,482.6403
Banana (2055).jpeg,Banana,36.116,79.8084,686.5064,475.4928
Banana (3).png,Banana,199.8932,63.1734,628.9068,561.3066
Banana (4).png,Banana,29.84,14.28,576.48,340.8
Banana (4).png,Banana,204.64,181.14,764,586.32
Banana (5).jpeg,Banana,78.7196,292.9998,183.7332,447.9282
Banana (5).jpeg,Banana,648.2132,176.2143,799.9996,424.1073
Banana (5).jpeg,Banana,311.8668,357.3573,473.8132,588.5715
Banana (5).jpeg,Banana,167.7064,207.2145,349.2264,433.6431
Banana (5).jpeg,Banana,402.6132,42.7503,505.8396,207.2145
Banana (6).jpeg,Banana,0,0,800,600
Banana (8).jpeg,Banana,7.4772,4.6395,242.2156,304.9485
Banana (8).jpeg,Banana,365.508,7.0209,555.2312,293.0415
Banana (8).jpeg,Banana,545.7232,26.103,800,355.0206
Banana (8).jpeg,Banana,246.954,288.2787,519.662,519.4641
Banana (8).jpeg,Banana,24.062,312.1239,270.6772,564.7425
Banana (9).jpeg,Banana,174.0764,198.9018,417.5268,434.8602
Banana (9).jpeg,Banana,485.4048,225.1398,651.6336,387.2022
Banana (9).jpeg,Banana,616.5192,39.2328,766.3512,167.9376
Banana (9).jpeg,Banana,92.1224,391.9584,412.8552,549.3264
Banana (9).jpeg,Banana,405.832,303.7929,705.4656,549.2643
Grape (1).jpeg,Grape,658.6472,148.0656,794.6184,446.754
Grape (1).jpeg,Grape,182.7488,206.4918,273.8032,411.705
Grape (1).jpeg,Grape,241.5128,311.7048,321.0472,498.7212
Grape (1).jpeg,Grape,360.2036,222.0984,516.9164,566.2296
Grape (1).jpeg,Grape,529.6004,59.7378,635.6076,280.5246
Grape (101).jpeg,Grape,78.4876,115.5741,191.3892,203.9019
Grape (101).jpeg,Grape,368.8432,422.0982,487.5344,562.3278
Grape (101).jpeg,Grape,260.538,15.5739,366.5452,127.2789
Grape (113).jpeg,Grape,444.9776,435.0132,580.0176,514.2396
Grape (113).jpeg,Grape,84.8,70.08,193.8848,136.32
Grape (113).jpeg,Grape,212.942,184.3734,323.7684,259.707
Grape (113).jpeg,Grape,486.5072,231.12,592.1424,312.9336
Grape (126).jpeg,Grape,107.5052,231.1506,345.6084,435.0582
Grape (138).jpeg,Grape,331.7736,461.7156,436.0456,552.6312
Grape (138).jpeg,Grape,624.7544,225.3474,777.4792,411.063
Grape (138).jpeg,Grape,467.1096,273.4107,587.532,435.7581
Grape (138).jpeg,Grape,109.5244,107.1789,329.298,364.3263
Grape (138).jpeg,Grape,17.66,426.6633,124.4376,556.5159
Grape (150).jpeg,Grape,598.5564,387.6948,755.6388,509.7792
Grape (150).jpeg,Grape,215.128,381.1896,380.872,511.074
Grape (150).jpeg,Grape,37.0228,363.0315,197.8044,500.6841
Grape (16).jpeg,Grape,498.502,196.701,563.3668,261.6186
Grape (16).jpeg,Grape,249.4824,86.289,318.2392,155.1342
Grape (16).jpeg,Grape,302.672,192.804,368.8032,257.7216
Grape (162).jpeg,Grape,152.2484,329.2761,239.5308,431.8623
Grape (162).jpeg,Grape,43.1724,217.5864,131.4756,342.276
Grape (162).jpeg,Grape,177.186,172.1382,275.8892,269.5518
Grape (162).jpeg,Grape,29.6552,34.4829,119.0072,160.4487
Grape (162).jpeg,Grape,316.4136,182.5173,400.5512,281.2071
Grape (162).jpeg,Grape,382.8968,355.2417,463.9448,466.9311
Grape (175).jpeg,Grape,223.3592,68.8287,404.4888,323.3781
Grape (175).jpeg,Grape,440.2132,38.9841,644.3052,341.5647
Grape (175).jpeg,Grape,47.328,340.2588,215.6944,550.6632
Grape (18).jpeg,Grape,144.8004,188.2902,562.8572,477.8934
Grape (187).jpeg,Grape,173.1196,101.253,618.1332,593.4666
Grape (19).jpeg,Grape,21.7328,64.8693,751.8112,534.9999
Grape (199).jpeg,Grape,0.0004,0,449.3012,111.6516
Grape (199).jpeg,Grape,201.928,114.2565,800,494.7831
Grape (20).jpeg,Grape,394.738,100.6134,602.5244,365.547
Grape (21).jpeg,Grape,325.476,303.1998,529.8136,473.3334
Grape (21).jpeg,Grape,212.9424,136.9602,436.3024,292.827
Grape (211).jpeg,Grape,411.4912,204.5571,561.28,375.9669
Grape (211).jpeg,Grape,229.44,352.59,413.7888,461.7048
Grape (22).jpeg,Grape,625.2484,240.2466,799.5836,517.0686
Grape (22).jpeg,Grape,362.4276,395.9592,532.3468,600
Grape (22).jpeg,Grape,282.3352,62.5071,427.468,309.4521
Grape (22).jpeg,Grape,465.0872,155.3013,603.1448,403.8495
Grape (223).jpeg,Grape,475.0676,196.7937,578.406,327.9363
Grape (223).jpeg,Grape,24.7516,166.9206,151.4884,304.5714
Grape (223).jpeg,Grape,194.5568,335.7462,331.128,453.9366
Grape (23).jpeg,Grape,168.482,168.1803,611.1484,488.9613
Grape (235).jpeg,Grape,540.3096,192.8136,656.8728,525.288
Grape (235).jpeg,Grape,395.718,220.1016,490.6756,413.5932
Grape (235).jpeg,Grape,300.732,359.0508,409.7464,599.322
Grape (235).jpeg,Grape,218.7324,260.3388,314.7604,473.322
Grape (24).jpeg,Grape,437.3464,366.24,520.884,455.85
Grape (24).jpeg,Grape,131.0548,159.75,207.638,211.68
Grape (24).jpeg,Grape,350.3116,227.28,426.8948,305.19
Grape (24).jpeg,Grape,533.0656,196.11,632.2416,285.72
Grape (24).jpeg,Grape,68.382,419.49,178.05,514.29
Grape (247).jpeg,Grape,64.7112,139.5735,738.4888,492.8001
Grape (25).jpeg,Grape,66.3856,388.9506,210.4144,582.459
Grape (25).jpeg,Grape,462.7784,274.6887,554.9672,439.6065
Grape (25).jpeg,Grape,226.5596,173.3769,394.7924,494.1639
Grape (259).jpeg,Grape,120.2188,225.3165,289.3556,330.5235
Grape (259).jpeg,Grape,180.0652,430.5162,390.8196,518.8362
Grape (259).jpeg,Grape,526.164,191.5635,716.1096,326.6181
Grape (26).jpeg,Grape,360.2036,30.5247,799.9996,592.8525
Grape (27).jpeg,Grape,258.4952,168.8571,448.5944,429.9045
Grape (272).jpeg,Grape,192.9216,45.4548,482.5136,205.2048
Grape (272).jpeg,Grape,539.9372,10.3863,800.0004,146.7501
Grape (272).jpeg,Grape,66.052,274.0224,326.9528,428.568
Grape (272).jpeg,Grape,386.764,406.5,676.3976,554.5452
Grape (28).jpeg,Grape,464.08,198.69,780.8,296.1
Grape (28).jpeg,Grape,67.52,314.28,386.16,457.14
Grape (28).jpeg,Grape,483.12,333.78,800,470.13
Grape (28).jpeg,Grape,122.96,187.02,386.16,309.09
Grape (29).jpeg,Grape,247.6856,27.6546,670.2536,341.9454
Grape (30).jpeg,Grape,519.52,9.48,800,504.3
Grape (30).jpeg,Grape,0,114.66,218.16,393.9
Grape (30).jpeg,Grape,176.64,0.42,571.44,565.32
Grape (31).jpeg,Grape,297.1804,142.6038,664.0436,515.3238
Grape (31).jpeg,Grape,91.5848,127.0035,432.4808,307.5273
Grape (32).jpeg,Grape,200.0584,102.3279,337.164,254.2953
Grape (32).jpeg,Grape,568.7852,151.7049,770.4436,443.9019
Grape (32).jpeg,Grape,236.9168,294.5577,402.8512,438.7215
Grape (32).jpeg,Grape,394.7924,99.7377,511.1564,221.8359
Grape (33).jpeg,Grape,0.0004,423.2832,165.4844,586.4532
Grape (33).jpeg,Grape,379.6228,251.9247,518.566,570.6417
Grape (34).jpeg,Grape,63.1464,95.9199,735.004,518.0001
Grape (35).jpeg,Grape,115.0932,60.8535,482.2044,298.5333
Grape (35).jpeg,Grape,404.2668,32.2932,683.058,281.6532
Grape (36).jpeg,Grape,96.432,172.9173,691.768,476.8143
Grape (37).jpeg,Grape,206.8296,396.2928,788.644,600
Grape (38).jpeg,Grape,0,0,0,0
Grape (39).jpeg,Grape,442.7492,23.5671,648.958,235.2681
Grape (39).jpeg,Grape,242.996,166.4226,575.0424,584.6286
Grape (39).jpeg,Grape,511.4752,283.3299,652.8496,423.5877
Grape (51).jpeg,Grape,306.066,242.2296,492.742,531.8364
Grape (51).jpeg,Grape,334.8652,40.9179,435.1124,124.0329
Grape (51).jpeg,Grape,92.8868,37.0164,317.5852,361.7052
Grape (64).jpeg,Grape,459.9584,287.6205,545.9792,379.8231
Grape (64).jpeg,Grape,228.7008,268.101,320.3296,339.5694
Grape (76).jpeg,Grape,38.2408,253.9608,509.844,483.804
Grape (76).jpeg,Grape,393.3616,48.7452,800,385.098
Grape (89).jpeg,Grape,373.8132,266.2503,458.1868,389.6073
Grape (89).jpeg,Grape,556.1332,192.2145,656.9596,323.3931
Grape (89).jpeg,Grape,428.1332,157.143,528.9596,283.107
Grape (89).jpeg,Grape,478.5332,303.8931,571.6268,438.9645
Grape (89).jpeg,Grape,302.0536,146.7501,397.0936,274.0359
Grape (284).jpeg,Grape,559.9996,396.72,757.5108,577.3332
Grape (284).jpeg,Grape,102.9688,339.5736,345.3864,564.24
Grape (284).jpeg,Grape,483.9112,85.0131,736.7464,316.1865
Grape (297).jpeg,Grape,4.414,41.7102,269.0116,597.6414
Grape (297).jpeg,Grape,278.7356,0,566.3444,600
Mango (1).jpeg,Mango,623.36,10.38,800,337.68
Mango (1).jpeg,Mango,91.76,67.56,562.8,327.3
Mango (1).jpeg,Mango,233.76,277.92,703.04,574.02
Mango (10).jpeg,Mango,155.84,337.68,455.44,566.22
Mango (10).jpeg,Mango,360.16,0,651.12,236.34
Mango (10).jpeg,Mango,619.92,181.8,800,387
Mango (10).jpeg,Mango,592.24,385.74,800,600
Mango (10).jpeg,Mango,100.4,68.82,436.4,338.94
Mango (11).jpeg,Mango,10.4,45.48,800,555.84
Mango (12).jpeg,Mango,640.72,0,800,276.6
Mango (12).jpeg,Mango,337.68,315.6,632,536.34
Mango (13).jpeg,Mango,93.52,53.22,800,426
Mango (14).jpeg,Mango,266.64,129.9,356.72,211.68
Mango (14).jpeg,Mango,564.48,163.62,694.4,259.74
Mango (15).jpeg,Mango,436.4,423.36,800,600
Mango (15).jpeg,Mango,147.2,2.58,533.36,168.84
Mango (15).jpeg,Mango,48.48,131.16,453.68,358.44
Mango (16).jpeg,Mango,334.24,266.22,474.48,416.88
Mango (16).jpeg,Mango,58.88,215.58,207.76,358.44
Mango (16).jpeg,Mango,495.2,281.82,632,400.02
Mango (17).jpeg,Mango,8.64,236.34,289.2,390.9
Mango (17).jpeg,Mango,273.6,280.5,664.96,396.12
Mango (17).jpeg,Mango,581.84,227.28,798.24,349.38
Mango (17).jpeg,Mango,542,144.18,793.04,281.82
Mango (17).jpeg,Mango,256.24,209.1,516,338.94
Mango (18).jpeg,Mango,107.36,75.3,734.24,472.74
Mango (19).jpeg,Mango,329.9708,140.9184,697.3908,512.328
Mango (19).jpeg,Mango,140.5216,240.918,433.304,512.328
Mango (2).jpeg,Mango,493.52,101.28,800,401.28
Mango (2).jpeg,Mango,0,98.58,325.52,400.02
Mango (256).jpeg,Mango,355.5916,301.3398,607.4772,422.097
Mango (256).jpeg,Mango,425.4696,68.8542,643.8536,301.3398
Mango (256).jpeg,Mango,246.4,119.505,444.408,335.097
Mango (256).jpeg,Mango,76.0492,271.4562,370.1556,422.097
Mango (257).jpeg,Mango,315.084,291.5502,701.5576,400.6506
Mango (257).jpeg,Mango,183.2976,204.5325,451.3584,344.8047
Mango (258).jpeg,Mango,84.138,279.9165,411.5404,520.1679
Mango (258).jpeg,Mango,373.3332,201.9879,670.8044,370.8141
Mango (259).jpeg,Mango,127.7868,57.801,476.1364,329.2458
Mango (259).jpeg,Mango,461.0192,-0.0003,800,433.1307
Mango (260).jpeg,Mango,49.0288,277.866,318.8,446.7072
Mango (260).jpeg,Mango,288.3428,132.4026,606.7996,259.683
Mango (260).jpeg,Mango,152.4572,340.2075,460.8004,473.9637
Mango (266).jpeg,Mango,161.0568,250.6737,359.6984,431.2107
Mango (266).jpeg,Mango,347.2908,283.1367,656.4228,472.7685
Mango (267).jpeg,Apple,277.402,355.1814,679.67,562.9806
Mango (267).jpeg,Banana,0.0004,140.8959,335.1756,434.4093
Mango (267).jpeg,Orange,23.0928,404.5482,307.464,548.6874
Mango (267).jpeg,Mango,73.9796,151.2972,369.8556,346.1004
Mango (27).jpeg,Mango,0,94.6788,214.8,401.286
Mango (27).jpeg,Mango,319.5204,103.8927,539.6268,398.7141
Mango (27).jpeg,Mango,429.0936,331.1784,708.3736,600
Mango (3).jpeg,Mango,64.08,202.62,583.52,600
